link,movieInfo,number,quote,role,star,title
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1292052'>]","
                            1994 / 美国 / 犯罪 剧情
                        ",1001441人评价,希望让人自由。,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",9.6,肖申克的救赎
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1291546'>]","
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ",727675人评价,风华绝代。,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",9.5,霸王别姬
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1295644'>]","
                            1994 / 法国 / 剧情 动作 犯罪
                        ",942492人评价,怪蜀黍和小萝莉不得不说的故事。,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...",9.4,这个杀手不太冷
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1292720'>]","
                            1994 / 美国 / 剧情 爱情
                        ",801423人评价,一部美国近现代史。,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise",9.4,阿甘正传
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1292063'>]","
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",468121人评价,最美的谎言。,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...",9.5,美丽人生
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1291561'>]","
                            2001 / 日本 / 剧情 动画 奇幻
                        ",749841人评价,最好的宫崎骏，最好的久石让。 ,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...",9.2,千与千寻
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1292722'>]","
                            1997 / 美国 / 剧情 爱情 灾难
                        ",741157人评价,失去的才是永恒的。 ,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...",9.2,泰坦尼克号
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/1295124'>]","
                            1993 / 美国 / 剧情 历史 战争
                        ",426312人评价,拯救一个人，就是拯救整个世界。,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...",9.4,辛德勒的名单
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/3541415'>]","
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",842118人评价,诺兰给了我们一场无法盗取的梦。,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...",9.3,盗梦空间
"[<Selector xpath='div[@class=""hd""]/a/@href' data='https://movie.douban.com/subject/2131459'>]","
                            2008 / 美国 / 爱情 科幻 动画 冒险
                        ",552210人评价,小瓦力，大人生。,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...",9.3,机器人总动员
