,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
0,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名简称,胜,1995
1,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,1995
2,上海申花,SHSH,超,5,Shanghai Shenhua,23,49,6,26,30,616.25,1,上海申花,19,1995
3,北京国安,BJGA,超,6,Beijing Guoan,23,46,5,23,28,555,2,北京国安,17,1995
4,广东宏远,GDHY,超,5,Guangdong Hongyuan,29,45,8,16,28,515,3,广东宏远,15,1995
5,大连万达,DLWD,超,7,Dalian Wanda,27,33,6,6,26,465,4,大连万达,13,1995
6,济南泰山,JNTSG,超,9,Jinan Taishan,38,40,11,2,30,406.25,5,济南泰山,10,1995
7,广州太阳神,GZAPL,超,7,Guangzhou Apollo,31,31,9,0,24,310,6,广州太阳神,8,1995
8,四川全兴,SCQX,超,4,Sichuan Quanxin,34,35,13,1,26,302.5,7,四川全兴,9,1995
9,天津FC,TJFC,超,3,Tianjin FC,45,22,14,-23,24,300,8,天津三星,7,1995
10,延边FC,YBFC,超,9,Yanbian FC,33,25,9,-8,24,277.5,9,延边现代,6,1995
11,辽宁FC,LNFC,亚,5,Liaoning FC,52,37,14,-15,26,252.5,10,辽宁,7,1995
12,松日电器广州,GZMSC,甲,8,Guangzhou Matsunichi,35,39,6,4,26,250,11,广州松日,12,1995
13,中国人民解放军八一,PLABY,超,8,PLA Bayi,28,24,11,-4,24,237.5,12,八一,5,1995
14,青岛海牛,QDHN,超,7,Qingdao Hainiu,36,20,12,-16,24,227.5,13,青岛海牛,5,1995
15,深圳FC,SZFC1,甲,6,Shenzhen FC,21,37,4,16,22,210,14,深圳,12,1995
16,武钢集团职业,WHIS,甲,6,Wuhan Iron & Steel,25,35,6,10,22,180,15,武钢集团,10,1995
17,上海大顺,SHDS,甲,9,Shanghai Dashun,25,33,4,8,22,180,16,上海大顺,9,1995
18,佛山FC,FSFST,甲,7,Foshan FC,37,35,8,-2,24,180,17,佛山,9,1995
19,江苏迈特,JSMT,甲,9,Jiangsu Maite,24,22,8,-2,24,165,18,江苏迈特/江苏队,7,1995
20,火车头FC,HCTFC,甲,5,Locomotive FC,23,29,8,6,22,160,19,火车头,9,1995
21,沈阳华阳,SYHY,甲,8,Shenyang Huayang,33,23,10,-10,24,137.5,20,沈阳华阳,6,1995
22,北京首钢,BJSG,甲,7,Beijing Shougang,18,19,9,1,22,125,21,北京首钢,6,1995
23,大连毅腾连铁,DLYT,甲,4,Dalian Yiteng,36,20,12,-16,22,110,22,大连铁路毅腾,6,1995
24,上海浦东新区FA,SHPD,乙,2,Shanghai Pudong FA,14,40,1,26,12,82.5,23,上海浦东新区FA,9,1995
25,河南建业,HAJY,乙,3,Henan Construction,11,31,2,20,13,82.5,24,河南建业,8,1995
26,湖南莱孚,HNLF,甲,10,Hunan Laifu,33,19,10,-14,22,80,25,湖南莱孚,2,1995
