,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
0,俱乐部简称,编码,级别,平,英文名称,失球,进球,负,净胜,场次,合计,排名,队名/冠名,胜,2018
1,Club Name,C.ID,Div.,D,English Name,-,+,L,+/-,pl.,Pts.,Rank,Team Name,W,2018
2,上海上港集团,SHSIP,亚,2,"Shanghai
  SIPG",7,27,0,20,10,322.5,1,上海上港,8,2018
3,广州恒大淘宝,GZEG,亚,3,"Guangzhou
  Evergrande Taobao",11,24,1,13,10,257.5,2,广州恒大淘宝,6,2018
4,天津权健,TJQJ,亚,1,"Tianjin
  Quanjian",15,21,4,6,10,220,3,天津权健,5,2018
5,上海绿地申花,SHGL,亚,5,"Shanghai
  Greenland Shenhua",16,12,3,-4,10,160,4,上海绿地申花,2,2018
6,北京中赫国安,BJSBG,超,0,"Beijing
  Sinobo Guoan",4,9,1,5,4,112.5,5,北京中赫国安,3,2018
7,山东鲁能泰山,SDLT,超,0,"Shandong
  Luneng Taishan",3,7,1,4,4,112.5,6,山东鲁能泰山,3,2018
8,广州富力,GZRF,超,0,"Guangzhou
  R&F",10,10,1,0,4,112.5,7,广州富力,3,2018
9,重庆当代力帆,CQDD,超,0,"Chongqing
  Dangdai",5,6,2,1,4,82.5,8,重庆斯威,2,2018
10,江苏苏宁,JSSN,超,0,"Jiangsu
  Suning",8,7,2,-1,4,82.5,9,江苏苏宁易购,2,2018
11,安徽合肥桂冠,AHFGG,乙,0,"Anhui
  Hefei Guiguan",1,4,0,3,3,76.154,10,安徽桂冠,3,2018
12,石家庄永昌,SJZEB,甲,1,"Shijiazhuang
  Ever Bright",2,7,0,5,4,72.5,11,石家庄永昌,3,2018
13,延边北国,YBBG,乙,1,"Yanbian
  Beiguo",5,7,0,2,3,70.385,12,延边北国珲春,2,2018
14,海南博盈,HNSM,乙,0,"Hainan
  FC",2,4,1,2,3,67.5,13,海南FC,2,2018
15,武汉卓尔,WHZL,甲,0,"Wuhan
  Zall",3,8,1,5,4,67.5,14,武汉卓尔,3,2018
16,北京控股,BJEG,甲,0,"Beijing
  Enterprises",2,7,1,5,4,67.5,15,北京北控燕京,3,2018
17,延边富德,YBFD,甲,0,"Yanbian
  Funde",1,3,1,2,4,67.5,16,延边富德,3,2018
18,武汉楚风合力业余,WHCH,资18,0,"Wuhan
  Chufeng Heli",2,10,0,8,3,65,17,武汉楚风合力,3,2018
19,四川九牛,SCY.,乙,1,"Sichuan
  Jiuniu",1,7,0,6,3,64.904,18,四川九牛,2,2018
20,青岛黄海,QDHY,甲,2,"Qingdao
  Huanghai",6,11,0,5,4,62.5,19,青岛黄海,2,2018
21,天津泰达,TJTED,超,1,"Tianjin
  TEDA",6,5,2,-1,4,62.5,20,天津泰达,1,2018
22,河北华夏幸福,HECF,超,1,"Hebei
  China Fortune",9,7,2,-2,4,62.5,21,河北华夏幸福,1,2018
23,北京人和,SNBR,超,1,"Beijing
  Renhe",7,3,2,-4,4,62.5,22,北京人和,1,2018
24,河南建业,HAJY,超,1,"Henan
  Jianye",6,2,2,-4,4,62.5,23,河南建业,1,2018
25,南京沙叶,NJSY,资18,0,"Nanjing
  Saye",5,8,2,3,5,57.5,24,南京沙叶,3,2018
26,保定容大,BDRD,乙,0,"Baoding
  Rongda",2,14,0,12,2,53.654,25,保定容大,2,2018
