,birth,height,name,nameen,nation,place,position,weight
0,1997年12月31日（20岁）,1.72,伊力扎特-阿赫梅托夫（伊力扎提-阿合买提）,Ilzat Toglokovich Akhmetov,吉尔吉斯斯坦,,边前卫,65
1,1988年10月29日（29岁）,185,鲍里斯.阿尔法罗,Boris Alfaro,无,,前锋,
2,1995年5月25日（22岁）,156,区美仪,Jessica Au,东帝汶、葡萄牙,,,前腰
3,1960年8月24日（57岁）,,欧阳伯钧,Au-yeong Pak Kuan,,,中场,
4,1969年8月3日（48岁）,,莫国全,Richard Bok Kok Chuan,,,,
5,1994年5月23日（23岁）,181,泰艾斯.布朗宁,"Tyias ""Ty"" Charles Browning",,,边后卫,
6,1997年3月3日（21岁）,166,海梅·卡雷尼奥,Jaime Carreño,无,,中场,
7,1977年3月29日（41岁）,173,陈永雄,Chan Wing Hoong,,,后卫,
8,1990年7月22日（27岁）,,陈志杰,Chan Chee Kit,加拿大,,中场,
9,1985年8月7日（32岁）,180,何塞-陈（小）,Jose Carlos Chan,,,中后卫,
10,1968年4月21日（49岁）,,陈国兴,Chan Kok Heng,无,,后卫,
11,1988年11月7日（29岁）,1.83,曾羽辉,Chan Yu Hui,无,,门将,
12,1998年4月5日（20岁）,,曾智畏,Jordan Chan,无,,中场,
13,1987年11月17日（30岁）,175,胡安-张,Juan José Chang,德国、萨尔瓦多,,中场,
14,1996年10月30日（21岁）,180,车世伟,Che Shiwei,,,中场,70
15,1989年6月11日（28岁）,183,李-昆西-卓亚麟,Lee-Quincy Cheuk-Alam,苏里南,,门将,76
16,1971年9月9日（46岁）,,朱允豪,Chee Wan Hoe,无,,后卫,
17,1993年5月5日（24岁）,184,陈俊林,Chen Junlin,,,门将,74
18,1994年5月24日（23岁）,182,罗伯特·陈,Roberto Chen,无,,中后卫,
19,1985年3月11日（33岁）,180,陈涛,Chen Tao,,,中场,80
20,1983年10月5日（34岁）,174,陈昌源(夏维耶）,Xavier Chen,比利时,,边后卫,
21,1993年1月7日（25岁）,178,陈正,Chen Zheng,,,前锋,73
22,1977年8月9日（40岁）,165,丹尼斯.陈,Denis Chen,,,后卫,
23,1993年4月17日（24岁）,,陈佳裕,Francisco Chen Jiayu,,,边后卫,
24,1997年6月11日（20岁）,,贾弗里-赵,Jafri Chew,无,,前锋,
25,年月日（岁）,,阿尔伯特-贾-李,Alberto Chía Li,,,后腰,
26,1925年1月1日（93岁）,,谢文良,Chia Boon Leong,中华民国,,前锋,
27,1957年1月18日（61岁）,185,理查德-陈亚保,Richard Chin-A-Poo,无,,后卫,
28,1987年7月4日（30岁）,191,丹尼斯.陈,Dennis Chin,牙买加,,前锋,
29,1983年5月26日（34岁）,165,陈珩琛,Gordon Chin,无,,中场,
30,1995年3月11日（23岁）,177,陈明山,Piakai Henkel ”Chin Ming Shang”,新加坡,,前锋,
31,年月{{{出生日}}}日（岁）,,帕特里克-陈,Patrick Chin,,,,
32,1989年5月11日（28岁）,177,肖恩-陈,Shawn Chin,无,,中场,
33,1978年5月24日（39岁）,185,布莱恩.程,Brian Ching,无,,前锋,
34,1973年11月30日（44岁）,170,郑宏育,Ching Hong Aik,无,,前锋,
35,1987年08月29日（30岁）,183,康纳尔-陈,Conor William Chinn,,,前锋,80
36,1995年9月25日（22岁）,,赵珍妮,"Jenny Chiu ""Chiu Jen-Ny""",美国,,中场,
37,1990年1月26日（28岁）,179,斯蒂维.张.邱,Steeyv Chong,法国,,前锋,
38,1999年12月7日（18岁）,,塔希茨-钟,Tahith Chong,,,前腰,
39,1992年2月5日（26岁）,176,周子轩,Victor Chou Hsieh,西班牙,,边后卫,
40,1948年11月26日（69岁）,,仇志强,Chow Chee Keong,,,门将,
41,1952年8月28日（65岁）,1.86,周贵林,Chow Kwai Lam,,,后卫,
42,1996年2月11日（22岁）,173,邹仲衡,Matthew Chung-Hung Chow,香港,,中场、前锋,
43,1993年9月5日（24岁）,173,周定洋,Timothy Alexander Chow Tin Young,中华台北,,中场,
44,1977年5月21日（40岁）,,周志荣,Chow Chee Weng,无,,中场,
45,1999年10月8日（18岁）,174,周家文,"Justin Stephen ""Chow Chia Wen""",,,前锋,65
46,1998年1月26日（20岁）,1.68米,周东泽,Davidy Renan Dos Santos Chow,,,后腰,
47,1973年10月19日（44岁）,,弗兰克-周玄,Frank Chow-Yuen,法国,,中场,
48,年月日（岁）,,朱志成,Chu Chee Seng,中华民国,,守门员,
49,1904年10月23日（113岁）,180,蔡文礼,Chua Boon Lay,中华民国,,后卫,73
50,1985年10月25日（32岁）,182,庄耿沣,Chun Keng Hong,无,,中后卫,
51,1970年6月18日（47岁）,170,马克.钟,Mark Chung,加拿大，牙买加,,中场,
52,1939年12月1日（78岁）,,钟汉强,Winston Chung Fah,中华民国（？）,,门将、后卫、教练,
53,1998年9月5日（19岁）,175,钟启俊,Kadin Chung,菲律宾,,后卫,
54,1932年7月16日（85岁）,175,萨米-钟,Sammy Chung,香港,,前锋,
55,1950年10月14日（67岁）,,艾伦-科尔,Allan Cole,,,前锋,
56,1924年月日（岁）,170,丛安庆,Cóng Anqìng,无,,前卫,
57,1996年6月4日（21岁）,1.85,迪翁-库尔斯,Dion Johan Cools,马来西亚,,边后卫,
58,1994年11月15日（23岁）,180,崔明安,Cui Ming'an,,,中场,77
59,1989年6月27日（28岁）,178,崔宇,Cui Yu,,,后卫,77
60,1932年月日（岁）,,崔曾石,Cuī Zēngshí,无,,右边锋、中锋,
61,1990年2月15日（28岁）,182,帕特里克-迭托,Patrick Deyto,无,,门将,
62,1994年2月4日（24岁）,180,库尔特-二孙,Curt Dizon,英格兰,,前锋,
63,1996年1月15日（22岁）,182,董洪麟,Dong Honglin,,,中场,70
64,1996年2月11日（22岁）,180,董岩锋,Dong Yanfeng,,,后卫,71
65,1995年1月24日（23岁）,180,段云子,Duan Yunzi,,,中场,70
66,1992年7月5日（25岁）,,杨裕财,Chanin Sae-Ear (Ear Euk Chai),,,门将,
67,1943年9月19日（74岁）,,范德芳,Fan Tek Fong,中华民国（？）,,,
68,1985年10月20日（32岁）,187,冯潇霆,Feng Xiaoting,,,后卫,78
69,1983年11月25日（34岁）,,方添俊,Dilshan Fong-Tin-Joen,苏里南,,后卫,
70,1990年12月17日（27岁）,181,艾迪,Eddy Francis,,,后卫,75
71,1966年12月17日（51岁）,185,罗宾-弗雷泽,Robin Fraser,牙买加,,中后卫,
72,1983年9月24日（34岁）,180,洪阿英（冯亚荣）,Cerezo Fung-A-Wing,苏里南,,中后卫,
73,1988年6月3日（29岁）,180,颜兴龙,Gan Seng Ling,澳大利亚,,中场,
74,1986年2月14日（32岁）,185,郜林,Gao Lin,,,前锋,75
75,1990年5月17日（27岁）,186,耿晓顺,Geng Xiaoshun,,,中后卫，右后卫,75
76,1994年9月18日（23岁）,,吴志豪,"Ryan Go ""Wu Zhi-Hao""",澳大利亚,,边后卫,
77,1974年2月6日（44岁）,180,吴达泉,Goh Tat Chuan,无,,中场,
78,1994年5月30日（23岁）,178,维克托-冈萨雷斯,Víctor Miguel González Chang,无,,后卫,75
79,1989年7月8日（28岁）,189,国威,Guo Wei,,,门将,85
80,1914年月日（岁）,172,郭鸿宾,Guō Hóngbīn,无,,中锋,
81,1985年3月2日（33岁）,180,河大成,Ha Dae-Sung,,,中场,68
82,1983年9月13日（34岁）,185,韩鹏,Han Peng,,,前锋,77
83,1989年7月10日（28岁）,181,韩学庚,Han Xuegeng,,,后卫,74
84,1993年08月20日（24岁）,169,何维伦,Ho Wai Loon,无,,中场,
85,1998年1月13日（20岁）,,侯永永,John Hou Sæter,,,中场,
86,1988年7月15日（29岁）,,胡思杰,Shijie Hu,,,前腰,
87,1978年7月15日（39岁）,173,杰梅因-邱,Jermaine Hue,,,中场,
88,1994年5月4日（23岁）,175,于德,Arthur Irawan,无,,边后卫,
89,1981年2月13日（37岁）,,叶亚有（叶亚友）,Ferdinand Jap A Joe,,,中场，后卫,
90,1994年6月8日（23岁）,182,纪政玉,Ji Zhengyu,,,后卫,76
91,1927年月日（岁）,,金秉奎,Jīn Bǐngkuī,无,,左边锋,
92,1990年1月25日（28岁）,187,晋鹏翔,Jin Pengxiang,,,后卫,77
93,1993年1月15日（25岁）,180,金强,Jin Qiang,,,中场,72
94,1993年2月3日（25岁）,180,金洋洋,Jin Yangyang,,,后卫,70
95,1990年2月27日（28岁）,185,金英权,Kim Young-Gwon,,,后卫,74
96,1926年月日（岁）,,金龙湖,Jīn LóngHú,无,,前锋,
97,1986年7月18日（31岁）,183,杨亚平（容阿平）,Calvin Jong-A-Pin,苏里南（？）,,中后卫,
98,1964年11月9日（53岁）,,"""中国人"" 浩然",China Kao Yien,无,,后卫,
99,1996年7月18日（21岁）,1.80,扎马尔丁-霍加尼亚佐夫（扎马尔丁-霍加尼亚孜）,Dzhamaldin Abdukhalitovich Khodzhaniyazov,土库曼斯坦,,中后卫,
100,1952年10月25日（65岁）,,许锡龙,Khor Sek Leng,,,中场,
101,1900年11月2日（117岁）,,豪尔赫-古曹,Jorge Koochoi Sarmiento,中华民国（？）,,边锋,
102,1951年3月27日（67岁）,,古廉权,Koo Luam Khen,,,,
103,1920年月日（岁）,,郭丰新,Kwee Hong Sing,中华民国（？）,,,
104,1993年2月22日（25岁）,181,麦克-邝,Michael Kwong,无,,边锋,
105,年月日（岁）,,里维斯-黎山（暂译）,Lewis Lai San,,,中场,
106,年月日（岁）,,黎文（暂译）,Mun Lai,,,中场,
107,1961年12月6日（56岁）,,黎景豪,Richard Lai King Ho,关岛,,,
108,1980年4月8日（38岁）,1.67,黎文华（暂译）,Lai Ban Huat,,,后卫,
109,1991年6月4日（26岁）,175,林志坚,Andreas Lam Zhi Gin,无,,边前卫,
110,1994年10月9日（23岁）,160,黎丽莎,Cindy Lay,无,,中场,
