,0
0,伊力扎特-阿赫梅托夫（伊力扎提-阿合买提）
1,Ilzat Toglokovich Akhmetov
2,伊力扎特 图格鲁克维奇 阿赫梅托夫（Ilzat Toglokovich Akhmetov）
3,
4,1997年12月31日（20岁）
5, 
6,
7,吉尔吉斯斯坦
8,1.72
9,65
10,边前卫
11,
12,鲍里斯.阿尔法罗
13,Boris Alfaro
14,Boris Xavier Alfaro Chong
15,无
16,1988年10月29日（29岁）
17, [[]] La Chorrera
18,
19,无
20,185
21,
22,前锋
23,
24,区美仪
25,Jessica Au
26,Jessica Mi-Yee Au (杰西卡-区美仪）
27,无
28,1995年5月25日（22岁）
29,  维多利亚
30,
31,东帝汶、葡萄牙
32,156
33,前腰
34,
35,
36,欧阳伯钧
37,Au-yeong Pak Kuan
38,Au-yeong Pak Kuan
39,
40,1960年8月24日（57岁）
41, [[]]
42,
43,
44,
45,
46,中场
47,
48,莫国全
49,Richard Bok Kok Chuan
50,Bok Kok Chuan
51,
52,1969年8月3日（48岁）
53, [[]]
54,
55,
56,
57,
58,
59,
60,泰艾斯.布朗宁
61,"Tyias ""Ty"" Charles Browning"
62,泰艾斯.查尔斯.布朗宁
63,无
64,1994年5月23日（23岁）
65,  利物浦
66,
67,
68,181
69,
70,边后卫
71,
72,海梅·卡雷尼奥
73,Jaime Carreño
74,Jaime Matías Carreño Lee-chong
75,无
76,1997年3月3日（21岁）
77,  雷科莱塔
78,
79,无
80,166
81,
82,中场
83,
84,陈永雄
85,Chan Wing Hoong
86,Chan Wing Hoong
87,
88,1977年3月29日（41岁）
89,  怡保
90,
91,
92,173
93,
94,后卫
95,
96,陈志杰
97,Chan Chee Kit
98,Kevin Dean Chan-Yu-Tin
99,无
100,1990年7月22日（27岁）
101,  蒙特利尔
102,
103,加拿大
104,
105,
106,中场
107,
108,何塞-陈（小）
109,Jose Carlos Chan
110,José Carlos Chan Moreno
111,无
112,1985年8月7日（32岁）
113, 
114,
115,
116,180
117,
118,中后卫
119,
120,陈国兴
121,Chan Kok Heng
122,Chan Kok Heng
123,无
124,1968年4月21日（49岁）
125, 
126,
127,无
128,
129,
130,后卫
131,
132,曾羽辉
133,Chan Yu Hui
134,Jasper Chan Yu Hui
135,
136,1988年11月7日（29岁）
137, [[]]
138,
139,无
140,1.83
141,
142,门将
143,
144,曾智畏
145,Jordan Chan
146,Chan Zhi Wei
147,无
148,1998年4月5日（20岁）
149, [[]]
150,
151,无
152,
153,
154,中场
155,
156,胡安-张
157,Juan José Chang
158,胡安-何塞-张
159,无
160,1987年11月17日（30岁）
161, 
162,
163,德国、萨尔瓦多
164,175
165,
166,中场
167,
168,车世伟
169,Che Shiwei
170,车世伟
171,
172,1996年10月30日（21岁）
173,  大连市
174,
175,
176,180
177,70
178,中场
179,MA59001
180,李-昆西-卓亚麟
181,Lee-Quincy Cheuk-Alam
182,李-昆西-卓亚麟
183,无
184,1989年6月11日（28岁）
185, 
186,
187,苏里南
188,183
189,76
190,门将
191,
192,朱允豪
193,Chee Wan Hoe
194,Chee Wan Hoe
195,无
196,1971年9月9日（46岁）
197, [[]]
198,
199,无
200,
201,
202,后卫
