,age,country,countryZh,loan,marketValue,mfClubId,mfClubName,miClubId,miClubName,playerId,playerMainPosition,playerName,premium,premiumRate,transferDate,transferFee,transferFeeValue,year
0,27,Brazil,巴西,回归,40万,232.0,庞特普雷塔,41.0,广州恒大,9237,前腰,雷纳多,,-,2012-06-30,,,11
1,29,Brazil,巴西,回归,25万,51.0,广州富力,202.0,科里蒂巴,5591,中锋,莱昂纳多,,-,2012-06-30,,,11
2,22,France,法国,回归,25万,50.0,上海绿地申花,265.0,雷丁,26504,中锋,马修·曼塞,,-,2012-06-30,,,11
3,20,China,中国,回归,5万,54.0,上海申鑫,44.0,长春亚泰,1136,右边锋,潘超然,,-,2012-06-30,,,11
4,21,China,中国,,3万,45.0,上海上港,,大连一方预备队,1365,左后卫,艾迪·弗朗西斯,-3万,-100,2012-06-18,,,11
5,22,China,中国,,,,江苏苏宁预备队,53.0,江苏苏宁,6668,中锋,戈伟,,-,2012-06-18,,,11
6,27,Hongkong,香港,,40万,,HK Pegasus,48.0,河南建业,14138,左边锋,高梵,-40万,-100,2012-06-13,,,11
7,18,China,中国,回归,,,Laochenggen,43.0,北京人和,20252,前腰,李帅,,-,2012-06-01,,,11
8,28,Bolivia,玻利维亚,,50万,837.0,科洛科洛,215.0,重庆力帆,13369,中后卫,卡夫雷拉,-50万,-100,2012-03-01,,,11
9,21,China,中国,出租,,,Shide Reserves,213.0,河北华夏幸福,10192,中锋,韩家宝,,-,2012-03-01,,,11
10,22,China,中国,,,50.0,上海绿地申花,53.0,江苏苏宁,1440,左后卫,姜嘉俊,85万,-,2012-03-01,85万,850000.0,11
11,28,China,中国,,,215.0,重庆力帆,214.0,石家庄永昌,6722,左后卫,胡伟,,-,2012-03-01,,,11
12,22,China,中国,,,1391.0,大连实德,215.0,重庆力帆,20251,前腰,王选宏,,-,2012-03-01,,,11
13,25,China,中国,,,42.0,北京国安,1391.0,大连实德,1510,右边锋,阎相闯,,-,2012-03-01,,,11
14,22,France,法国,出租,50万,265.0,雷丁,50.0,上海绿地申花,26504,中锋,马修·曼塞,,-,2012-02-21,90万,900000.0,11
15,28,Ghana,加纳,,15万,,Without Club,45.0,上海上港,1140,中后卫,兰斯福德·阿多,-15万,-100,2012-02-20,,,11
16,27,Brazil,巴西,,200万,1362.0,霍尔森斯,49.0,山东鲁能,1479,右边锋,马塞纳,-30万,-15,2012-02-01,170万,1700000.0,11
17,28,Tunisia,突尼斯,,60万,,Chern. Burgas,48.0,河南建业,27465,右后卫,哈伊里,-40万,-67,2012-02-01,20万,200000.0,11
18,29,Brazil,巴西,出租,40万,202.0,科里蒂巴,51.0,广州富力,5591,中锋,莱昂纳多,,-,2012-02-01,,,11
19,27,Brazil,巴西,,30万,202.0,科里蒂巴,51.0,广州富力,1340,后腰,达维,160万,533,2012-02-01,190万,1900000.0,11
20,23,China,中国,,25万,46.0,天津泰达,52.0,大连一方,1379,右边锋,于大宝,219万,876,2012-02-01,244万,2440000.0,11
21,20,China,中国,,,,Chongqing F.C.,50.0,上海绿地申花,1325,后腰,郑凯木,,-,2012-02-01,,,11
22,21,China,中国,,,52.0,大连一方,,Qinghai Senke,37200,中锋,徐亿海,,-,2012-02-01,,,11
23,21,China,中国,出租,,46.0,天津泰达,,SY Dongjin,33483,中后卫,毛开宇,,-,2012-02-01,,,11
24,23,China,中国,,,,Shide Reserves,43.0,北京人和,1239,中后卫,芦强,,-,2012-02-01,,,11
25,26,China,中国,,,215.0,重庆力帆,626.0,天津权健,19467,后腰,万程,,-,2012-02-01,,,11
26,22,China,中国,,,50.0,上海绿地申花,52.0,大连一方,1043,中锋,董学升,0,-,2012-02-01,0,0.0,11
27,22,China,中国,,,1250.0,深圳FC,48.0,河南建业,1249,左后卫,阿布都外力,,-,2012-02-01,,,11
28,23,China,中国,,,48.0,河南建业,1250.0,深圳FC,1347,门将,张世昌,,-,2012-02-01,,,11
29,20,China,中国,,,,河南建业预备队,213.0,河北华夏幸福,1254,门将,党钊,,-,2012-02-01,,,11
30,21,China,中国,出租,,44.0,长春亚泰,1451.0,成都天诚,6854,左边锋,杨贺,,-,2012-02-01,,,11
31,21,China,中国,,,45.0,上海上港,53.0,江苏苏宁,21640,前腰,王云龙,32万,-,2012-02-01,32万,320000.0,11
32,22,China,中国,,,,天津泰达预备队,213.0,河北华夏幸福,6676,左后卫,许小龙,,-,2012-02-01,,,11
33,20,China,中国,,,,天津泰达预备队,213.0,河北华夏幸福,6677,左后卫,芦洋,,-,2012-02-01,,,11
34,23,China,中国,,,627.0,贵州恒丰,213.0,河北华夏幸福,6680,右中场,张利峰,,-,2012-02-01,,,11
35,25,China,中国,,,43.0,北京人和,42.0,北京国安,6731,左边锋,毛剑卿,50万,-,2012-02-01,50万,500000.0,11
36,23,China,中国,出租,,46.0,天津泰达,,SY Dongjin,1173,右后卫,吕伟,,-,2012-02-01,,,11
37,24,China,中国,,,1451.0,成都天诚,46.0,天津泰达,1175,中后卫,李洪洋,0,-,2012-02-01,0,0.0,11
38,22,China,中国,,,55.0,杭州绿城,52.0,大连一方,1386,中后卫,晋鹏翔,90万,-,2012-02-01,90万,900000.0,11
39,24,China,中国,,,43.0,北京人和,,Chongqing F.C.,33439,右后卫,徐擎,0,-,2012-02-01,0,0.0,11
40,26,China,中国,,,215.0,重庆力帆,1252.0,武汉卓尔,33446,后腰,周恒,,-,2012-02-01,,,11
41,30,China,中国,出租,,49.0,山东鲁能,42.0,北京国安,20307,中后卫,矫喆,,-,2012-02-01,,,11
42,32,China,中国,,,49.0,山东鲁能,47.0,辽宁宏运,1205,左后卫,王亮,0,-,2012-02-01,0,0.0,11
43,27,Nigeria,尼日利亚,,300万,850.0,欧登塞,52.0,大连一方,1461,中锋,乌塔卡,-246万,-82,2012-01-21,54万,540000.0,11
44,29,Portugal,葡萄牙,,130万,543.0,华沙莱吉亚,42.0,北京国安,3720,右边锋,马努,-110万,-85,2012-01-01,20万,200000.0,11
45,29,Chile,智利,,80万,864.0,智利大学,52.0,大连一方,8282,中锋,卡纳莱斯,120万,150,2012-01-01,200万,2000000.0,11
46,27,Netherlands,荷兰,出租,60万,875.0,索菲亚列夫斯基,46.0,天津泰达,23853,中锋,阿尔斯,,-,2012-01-01,15万,150000.0,11
47,31,China,中国,,50万,667.0,杜伊斯堡,42.0,北京国安,1077,左中场,邵佳一,-50万,-100,2012-01-01,0,0.0,11
48,23,Brazil,巴西,,40万,,Desp. Brasil,51.0,广州富力,31060,中锋,拉斐尔·科埃略,115万,288,2012-01-01,155万,1550000.0,11
49,26,Benin,贝宁,,35万,45.0,上海上港,937.0,斯莱戈流浪者,18548,右中场,罗穆亚尔德·博科,-35万,-100,2012-01-01,0,0.0,11
50,23,Colombia,哥伦比亚,,30万,50.0,上海绿地申花,,Without Club,3752,右后卫,胡安·安古洛,-30万,-100,2012-01-01,,,11
51,22,China,中国,,5万,,北京国安预备队,42.0,北京国安,1059,右边锋,王皓,-5万,-100,2012-01-01,,,11
52,31,Brazil,巴西,,,51.0,广州富力,,Paysandu,37232,右边锋,Harison,0,-,2012-01-01,0,0.0,11
53,26,China,中国,,,1250.0,深圳FC,52.0,大连一方,6818,右后卫,陈雷,24万,-,2012-01-01,24万,240000.0,11
54,22,China,中国,,,,Without Club,50.0,上海绿地申花,1314,左边锋,王飞,,-,2012-01-01,,,11
55,20,China,中国,,,,广州恒大预备队,41.0,广州恒大,33467,后腰,李智朗,,-,2012-01-01,,,11
56,20,China,中国,,,,重庆力帆预备队,215.0,重庆力帆,6821,中场,王维成,,-,2012-01-01,,,11
